procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 2316568  68324 638012    0    0     5    12  176  272  0  1 99  0  0
 0  0      0 2313260  68332 638016    0    0     0   208  666 2135  2  4 94  1  0
 0  0      0 2313260  68332 638064    0    0     0     0  541 1993  2  1 97  0  0
 3  0      0 2313260  68332 638080    0    0     0     0 1022 5529  1  7 92  0  0
 0  0      0 2312504  68332 638180    0    0     0     0 1215 9352  2  5 93  0  0
 8  0      0 2312504  68332 638180    0    0     0     0  421 1962  1  1 99  0  0
 0  0      0 2312504  68340 638208    0    0     0    52  441 1948  1  0 99  0  0
15  0      0 2312504  68340 638208    0    0     0    12  422 1954  1  0 99  0  0
 0  0      0 2312504  68340 638256    0    0     0    28  456 1979  1  2 97  0  0
 0  0      0 2312504  68340 638256    0    0     0     0  456 1978  1  1 98  0  0
 0  0      0 2312504  68340 638312    0    0     0   104  537 2000  2  1 97  0  0
 1  0      0 2312252  68340 638332    0    0     0    12  487 1950  2  0 98  0  0
 4  0      0 2312252  68344 638420    0    0     0    88  491 1967  1  1 97  1  0
 8  0      0 2312252  68344 638420    0    0     0     0  586 2082  3  1 96  0  0
 1  0      0 2312252  68344 638452    0    0     0     0  428 1982  2  0 98  0  0
 0  0      0 2312252  68344 638452    0    0     0    56  453 1937  1  0 99  0  0
 0  0      0 2312252  68344 638496    0    0     0   668  571 1982  2  4 94  0  0
10  0      0 2312128  68356 638484    0    0     0    96  495 2006  1  1 98  1  0
 0  0      0 2311876  68356 638560    0    0     0     0  420 1955  2  1 97  0  0
 0  0      0 2311752  68356 638604    0    0     0     0  560 2124  1  1 98  0  0
 0  0      0 2311628  68356 638668    0    0     0   524  510 1973  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 2311628  68356 638680    0    0     0     0  513 1994  1  1 98  0  0
 0  0      0 2311504  68356 638692    0    0     0     0  553 2071  1  1 98  0  0
 0  0      0 2311376  68364 638712    0    0     0    88  433 1919  1  1 98  1  0
 0  0      0 2311252  68364 638712    0    0     0    24  532 2020  1  1 98  0  0
 0  0      0 2311376  68364 638752    0    0     0   144  514 2022  1  0 99  0  0
 0  0      0 2311252  68364 638752    0    0     0     0  394 1911  2  1 97  0  0
 3  0      0 2311000  68364 638856    0    0     0     0  418 1928  2  1 98  0  0
 0  0      0 2311000  68372 638904    0    0     0    72  401 1951  1  0 99  1  0
 0  0      0 2311000  68372 638904    0    0     0     0  420 1955  2  1 97  0  0
 4  0      0 2311000  68372 638932    0    0     0     0  405 1931  1  0 99  0  0
10  0      0 2311000  68372 638940    0    0     0    76  417 1952  2  1 97  0  0
 1  0      0 2311000  68372 638968    0    0     0    28  426 1911  1  1 98  0  0
 0  0      0 2311000  68372 638980    0    0     0     0  563 2051  2  0 98  0  0
 8  0      0 2311000  68376 639040    0    0     0    52  613 2143  1  1 98  1  0
 0  0      0 2311000  68376 639080    0    0     0     4  509 1972  1  1 98  0  0
 0  0      0 2311000  68376 639136    0    0     0     0  498 1961  2  0 98  0  0
15  0      0 2311000  68376 639164    0    0     0     0  498 2016  1  1 99  0  0
 0  0      0 2310628  68376 639164    0    0     0     0  499 1959  1  1 98  0  0
 0  0      0 2310628  68384 639180    0    0     0    64  392 1959  1  1 98  0  0
 0  0      0 2310628  68384 639204    0    0     0    68  404 1939  2  0 98  0  0
 0  0      0 2310628  68384 639220    0    0     0     0  390 1909  2  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 2310628  68384 639288    0    0     0     0  422 1943  2  1 98  0  0
 5  0      0 2310732  68384 639304    0    0     0     0  453 1992  1  1 98  0  0
 4  0      0 2310500  68392 639372    0    0     0    60  475 2042  2  0 97  1  0
 1  0      0 2310500  68392 639416    0    0     0     0  476 1943  1  2 97  0  0
