procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 3336428  41968 361124    0    0     9    10  165  171  0  1 99  0  0
 0  0      0 3334380  41968 361124    0    0     0     0  388  408  1  2 97  0  0
 0  0      0 3334380  41968 361124    0    0     0     0  345  386  0  0 100  0  0
 2  0      0 3334380  41968 361124    0    0     0    32  376  342  0  1 99  0  0
 0  0      0 3334380  41968 361140    0    0     0     0  378  353  0  0 100  0  0
 0  0      0 3334380  41976 361132    0    0     0    52  390  399  1  1 98  1  0
 0  0      0 3334380  41976 361140    0    0     0     4  349  343  0  0 100  0  0
 0  0      0 3334380  41976 361140    0    0     0     0  467  407  0  1 99  0  0
 0  0      0 3334380  41976 361164    0    0     0     0  420  347  0  0 100  0  0
 1  0      0 3334380  41976 361164    0    0     0    44  474  372  1  2 98  0  0
 0  0      0 3334380  41976 361164    0    0     0    28  411  374  0  1 99  0  0
 0  0      0 3334380  41976 361164    0    0     0     0  402  352  0  0 100  0  0
 0  0      0 3334380  41976 361176    0    0     0     0  320  368  0  0 100  0  0
 0  0      0 3334380  41984 361168    0    0     0    32  361  367  0  1 99  0  0
 1  0      0 3334380  41984 361176    0    0     0     0  346  336  0  0 100  0  0
 0  0      0 3334380  41984 361176    0    0     0     0  343  358  1  1 99  0  0
 1  0      0 3334380  41984 361176    0    0     0     0  322  333  0  1 99  0  0
 0  0      0 3334380  41984 361176    0    0     0    20  368  396  0  0 100  0  0
 0  0      0 3334380  41984 361176    0    0     0     4  380  336  0  0 100  0  0
 0  0      0 3334380  41984 361176    0    0     0     0  437  357  0  0 100  0  0
 0  0      0 3334380  41984 361188    0    0     0     0  404  348  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 3334380  41984 361188    0    0     0     0  436  364  0  1 99  0  0
 1  0      0 3334380  41992 361180    0    0     0    28  417  387  0  0 99  1  0
 0  0      0 3334380  41992 361188    0    0     0     0  361  328  0  0 100  0  0
 0  0      0 3334380  41992 361188    0    0     0   236  337  339  0  1 99  0  0
 1  0      0 3334380  41992 361188    0    0     0    20  367  380  0  1 99  0  0
 0  0      0 3334380  41992 361188    0    0     0     0  353  332  1  0 99  0  0
 1  0      0 3334380  41992 361188    0    0     0     4  384  374  0  1 99  0  0
 0  0      0 3334380  41992 361200    0    0     0     0  348  348  0  0 100  0  0
 0  0      0 3334380  42000 361192    0    0     0   208  389  370  0  1 99  1  0
 0  0      0 3334380  42000 361200    0    0     0     0  361  382  1  0 99  0  0
 0  0      0 3334380  42000 361200    0    0     0     0  395  350  0  1 99  0  0
 0  0      0 3334380  42000 361200    0    0     0     0  410  371  1  0 99  0  0
 0  0      0 3334380  42000 361200    0    0     0    20  424  363  0  0 100  0  0
 0  0      0 3334380  42000 361200    0    0     0    20  416  341  0  0 100  0  0
 0  0      0 3334380  42000 361200    0    0     0     0  431  367  1  1 99  0  0
 0  0      0 3334380  42000 361216    0    0     0     0  346  332  0  0 100  0  0
 0  0      0 3334380  42000 361216    0    0     0     0  344  377  0  1 99  0  0
 1  0      0 3334380  42008 361208    0    0     0    28  332  344  0  0 100  0  0
 0  0      0 3334380  42008 361216    0    0     0     0  357  340  0  0 100  0  0
 0  0      0 3334380  42008 361216    0    0     0     0  354  338  0  1 99  0  0
 0  0      0 3334380  42008 361216    0    0     0    24  356  367  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 3334380  42008 361216    0    0     0     0  340  362  1  1 99  0  0
 1  0      0 3334380  42008 361216    0    0     0     4  397  329  0  0 100  0  0
 0  0      0 3334380  42008 361228    0    0     0     0  431  347  0  1 99  0  0
 0  0      0 3334380  42008 361232    0    0     0     0  419  351  1  1 98  0  0
 0  0      0 3334380  42016 361224    0    0     0    36  414  353  0  0 99  1  0
 0  0      0 3334380  42016 361232    0    0     0     0  381  374  1  0 99  0  0
 0  0      0 3334380  42016 361232    0    0     0    16  329  334  0  0 100  0  0
 2  0      0 3334380  42016 361232    0    0     0     8  336  351  0  1 99  0  0
 1  0      0 3334380  42016 361232    0    0     0     0  360  353  0  1 99  0  0
 0  0      0 3334380  42016 361232    0    0     0     4  341  348  0  0 100  0  0
 0  0      0 3334380  42016 361248    0    0     0     0  356  364  0  0 100  0  0
 0  0      0 3334380  42024 361240    0    0     0    36  340  357  0  1 98  1  0
