procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 2963264  63028 508412    0    0     5    11  165  194  0  1 99  0  0
 0  0      0 2959704  63036 508412    0    0     0    92  432 1043  2  2 96  1  0
 0  0      0 2959704  63036 508424    0    0     0     0  372  913  1  0 99  0  0
 0  0      0 2959704  63036 508436    0    0     0     0  320  879  1  1 99  0  0
 0  0      0 2959704  63036 508456    0    0     0     0  361  940  1  0 99  0  0
 0  0      0 2959704  63036 508488    0    0     0     0  384  942  0  1 99  0  0
 0  0      0 2959452  63044 508500    0    0     0   144  378  967  1  1 97  1  0
 0  0      0 2959452  63044 508500    0    0     0   104  374  947  1  1 99  0  0
 0  0      0 2959452  63044 508500    0    0     0     0  380  937  1  0 99  0  0
 1  0      0 2959452  63044 508500    0    0     0    12  472  955  2  1 98  0  0
 0  0      0 2959452  63044 508516    0    0     0     0  435  936  1  1 99  0  0
 0  0      0 2959452  63052 508524    0    0     0    60  500 1041  1  2 97  1  0
 0  0      0 2958952  63052 508560    0    0     0     0  482  981  0  1 99  0  0
 0  0      0 2958952  63052 508572    0    0     0     0  374  946  1  0 99  0  0
 0  0      0 2958952  63052 508600    0    0     0     0  310  889  1  1 99  0  0
 0  0      0 2958952  63052 508600    0    0     0    76  323  881  0  1 99  0  0
 2  0      0 2958952  63052 508600    0    0     0    24  348  939  1  0 99  0  0
 0  0      0 2958952  63060 508592    0    0     0    72  383  971  1  0 99  1  0
 1  0      0 2958952  63060 508612    0    0     0     0  343  891  1  0 99  0  0
 0  0      0 2958952  63060 508628    0    0     0     0  336  895  1  0 99  0  0
 0  0      0 2958952  63060 508640    0    0     0     0  347  933  1  0 99  0  0
