procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 2077512  75844 859104    0    0     4    15  189  402  0  1 99  0  0
 1  0      0 2075464  75848 859104    0    0     0   492  593 2093  2  3 95  1  0
 0  0      0 2075464  75848 859104    0    0     0     0  486 2013  2  1 97  0  0
 0  0      0 2075464  75848 859104    0    0     0     0  506 2102  1  1 98  0  0
 1  0      0 2075464  75848 859204    0    0     0     0  510 2045  1  1 98  0  0
15  0      0 2075464  75848 859360    0    0     0     0  555 2067  1  2 97  0  0
 3  0      0 2075464  75848 859360    0    0     0     0  497 2098  1  0 99  0  0
 4  0      0 2075464  75852 859356    0    0     0    40  520 2003  1  0 98  1  0
 0  0      0 2075464  75852 859360    0    0     0     0 1971 2334  2 25 73  0  0
 1  0      0 2075464  75852 859360    0    0     0     0  943 2299  2  5 93  0  0
 9  0      0 2075464  75852 859360    0    0     0    32  558 2109  1  1 98  0  0
 4  0      0 2075464  75852 859360    0    0     0   628  511 2014  1  1 98  0  0
 0  0      0 2075464  75852 859504    0    0     0     0  513 2098  1  1 98  0  0
 0  0      0 2075464  75852 859588    0    0     0     0  419 1953  1  0 99  0  0
 1  0      0 2075464  75852 859588    0    0     0     0  489 2025  2  0 98  0  0
12  0      0 2075464  75856 859584    0    0     0    92  486 2077  1  0 99  1  0
 0  0      0 2075464  75856 859592    0    0     0   148  563 2008  1  1 98  1  0
 0  0      0 2075464  75856 859592    0    0     0    24  582 2033  2  1 98  0  0
 0  0      0 2075464  75856 859592    0    0     0     0  593 2110  1  0 99  0  0
 0  0      0 2075464  75856 859592    0    0     0     0  456 2012  1  1 98  0  0
 0  0      0 2075464  75856 859780    0    0     0     0  424 1995  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 2075464  75856 859828    0    0     0     0  486 2092  2  1 97  0  0
16  0      0 2075464  75856 859828    0    0     0     0  465 1996  1  0 99  0  0
 0  0      0 2075464  75856 859828    0    0     0    56  506 2056  2  1 98  0  0
 0  0      0 2075464  75856 859832    0    0     0     0  474 2072  1  0 99  0  0
 0  0      0 2075464  75856 859832    0    0     0    24  487 2034  1  1 99  0  0
 1  0      0 2075464  75856 859832    0    0     0    44  450 1976  1  1 98  0  0
 0  0      0 2075464  75856 859832    0    0     0     0  510 2106  1  0 99  0  0
 0  0      0 2075464  75856 860028    0    0     0     0  487 2032  1  1 98  0  0
 0  0      0 2075464  75856 860076    0    0     0     0  536 1997  2  1 98  0  0
10  0      0 2075464  75856 860076    0    0     0     0  665 2235  1  1 99  0  0
 0  0      0 2075464  75864 860080    0    0     0    68  571 2056  1  1 98  1  0
 0  0      0 2075464  75864 860080    0    0     0     0  543 1999  2  1 98  0  0
 0  0      0 2075464  75864 860080    0    0     0    32  464 2078  1  1 98  0  0
 0  0      0 2075464  75864 860080    0    0     0     0  480 2020  2  1 98  0  0
 2  0      0 2075464  75864 860080    0    0     0   260  494 2064  2  1 98  0  0
16  0      0 2075464  75864 860264    0    0     0     0  548 2150  1  0 99  0  0
 0  0      0 2075464  75864 860308    0    0     0     0  455 1980  2  0 98  0  0
 1  0      0 2075464  75864 860308    0    0     0     0  529 2067  1  1 98  0  0
 8  0      0 2075464  75864 860308    0    0     0    84  483 2074  0  1 99  1  0
 5  0      0 2075464  75864 860312    0    0     0     0  562 2114  2  1 98  0  0
 0  0      0 2075464  75864 860312    0    0     0    24  580 2070  1  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 2075464  75864 860312    0    0     0     0  557 2112  2  1 98  0  0
 0  0      0 2075464  75864 860312    0    0     0    40  504 1975  2  1 98  0  0
 3  0      0 2075464  75864 860560    0    0     0     0  441 1993  1  1 98  0  0
 0  0      0 2075464  75864 860560    0    0     0     0  456 2111  1  1 98  0  0
