procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 3343836  42872 362332    0    0     9    10  170  175  0  1 99  0  0
 0  0      0 3341788  42872 362344    0    0     0     0  370  381  0  1 99  0  0
 0  0      0 3341788  42872 362344    0    0     0     0  351  343  1  1 99  0  0
 2  0      0 3341788  42872 362352    0    0     0     0  934  559  1 20 79  0  0
 1  0      0 3341540  42872 362364    0    0     0     0 3228 1002  0 82 18  0  0
 1  0      0 3341416  42872 362364    0    0     0     0 3345  978  1 82 17  0  0
 1  0      0 3341292  42880 362364    0    0     0    32 3291 1022  1 83 17  0  0
 1  0      0 3341044  42880 362364    0    0     0     0 3243 1008  1 82 17  0  0
 2  0      0 3340796  42880 362364    0    0     0    16 2756  951  1 85 14  0  0
 3  0      0 3340548  42880 362364    0    0     0     0 2066  882  1 83 16  0  0
 4  0      0 3339668  42880 362364    0    0     0     0 2126  880  1 82 17  0  0
 2  0      0 3337152  42880 362364    0    0     0     0 2378  884  1 81 18  0  0
 1  0      0 3335392  42880 362376    0    0     0     0 3393  978  1 85 14  0  0
 2  0      0 3334764  42880 362376    0    0     0     0 3360 1039  1 84 15  0  0
 2  0      0 3333760  42888 362376    0    0     0    24 3341 1058  1 82 16  1  0
 2  0      0 3332628  42888 362376    0    0     0     0 3324  963  0 85 15  0  0
 1  0      0 3331372  42888 362376    0    0     0     0 3395  958  1 84 15  0  0
 1  0      0 3330868  42888 362376    0    0     0    16 3386  981  0 84 16  0  0
 2  0      0 3329860  42888 362376    0    0     0     0 3342 1041  1 83 16  0  0
 2  0      0 3328960  42888 362376    0    0     0     0 3402 1004  0 84 16  0  0
 2  0      0 3328228  42888 362392    0    0     0    72 3409  981  1 86 13  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 3327220  42888 362392    0    0     0     0 3215  981  0 82 18  0  0
 2  0      0 3326192  42896 362392    0    0     0    20 2788  937  1 84 15  0  0
 2  0      0 3324952  42896 362392    0    0     0     0 3510  984  1 86 13  0  0
 3  0      0 3324196  42896 362392    0    0     0     0 3380  993  1 84 15  0  0
 2  0      0 3323440  42896 362392    0    0     0    16 3409 1009  1 83 16  0  0
 2  0      0 3322664  42896 362392    0    0     0     0 3234 1020  1 83 16  0  0
 3  0      0 3321928  42896 362392    0    0     0     0 3396  997  1 82 17  0  0
 2  0      0 3320668  42904 362408    0    0     0    72 3312 1049  1 86 13  0  0
 2  0      0 3319640  42904 362408    0    0     0     0 3328  971  1 82 17  0  0
 2  0      0 3318632  42904 362408    0    0     0     0 3399 1025  1 84 15  0  0
 2  0      0 3317876  42904 362408    0    0     0   136 3419  998  1 85 15  0  0
 2  0      0 3316760  42904 362408    0    0     0     0 3347  933  1 86 14  0  0
 3  0      0 3315880  42904 362408    0    0     0    16 3372 1059  1 85 14  0  0
 2  0      0 3314872  42912 362400    0    0     0    28 3289  986  1 84 16  0  0
 4  0      0 3314244  42912 362408    0    0     0     0 2246  790  0 48 52  0  0
 0  0      0 3313868  42912 362420    0    0     0     0  353  361  1  0 99  0  0
 0  0      0 3313868  42912 362420    0    0     0     0  348  360  1  1 99  0  0
 0  0      0 3313868  42912 362420    0    0     0    16  407  413  1  0 99  0  0
 0  0      0 3313868  42912 362420    0    0     0     0  403  357  0  0 100  0  0
 0  0      0 3313868  42912 362420    0    0     0     0  380  358  1  0 99  0  0
 0  0      0 3313992  42920 362420    0    0     0    20  397  360  0  0 99  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 3313868  42920 362420    0    0     0     0  380  376  1  0 99  0  0
 0  0      0 3313616  42920 362420    0    0     0     0  378  398  1  1 99  0  0
 0  0      0 3313616  42920 362436    0    0     0     0  400  366  0  1 99  0  0
 0  0      0 3313616  42920 362436    0    0     0     0  366  380  1  0 99  0  0
 0  0      0 3313616  42920 362436    0    0     0     0  394  367  0  0 100  0  0
 0  0      0 3313740  42920 362436    0    0     0     0  406  364  0  0 100  0  0
 0  0      0 3313740  42920 362436    0    0     0     0  452  406  1  0 99  0  0
 0  0      0 3313740  42928 362436    0    0     0    32  461  389  1  0 99  0  0
 0  0      0 3313620  42928 362436    0    0     0     0  466  374  0  0 100  0  0
