procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 2402516  67740 625540    0    0     5    12  176  264  0  1 99  0  0
 1  0      0 2399964  67748 625604    0    0     0   104  545 1879  1  3 96  1  0
 0  0      0 2399964  67748 625640    0    0     0    92  512 1825  1  1 98  0  0
 0  0      0 2399964  67748 625656    0    0     0     0  436 1731  1  0 99  0  0
 0  0      0 2399964  67748 625684    0    0     0    52  761 2652  1  2 97  0  0
 0  0      0 2399712  67748 625700    0    0     0    16  628 2303  1  1 98  0  0
 0  0      0 2399712  67752 625728    0    0     0   108  545 2317  2  1 97  1  0
 9  0      0 2399712  67752 625748    0    0     0    52  553 2040  1  1 99  0  0
 2  0      0 2399712  67752 625772    0    0     0     0  660 2352  1  1 98  0  0
 9  0      0 2399712  67752 625820    0    0     0     0  557 2155  1  2 97  0  0
 0  0      0 2399712  67752 625864    0    0     0    52  578 1990  1  1 98  0  0
 4  0      0 2399712  67756 625880    0    0     0    64  619 1985  1  2 97  0  0
 0  0      0 2399712  67756 625900    0    0     0     0  592 1927  1  1 98  0  0
 0  0      0 2399712  67756 625916    0    0     0    12  503 1805  1  1 98  0  0
 0  0      0 2399460  67756 625944    0    0     0    32  492 1756  1  0 99  0  0
 0  0      0 2399460  67756 625956    0    0     0    52  478 1774  1  1 99  0  0
10  0      0 2399460  67760 625988    0    0     0    68  415 1818  1  0 99  1  0
 1  0      0 2399460  67760 626040    0    0     0     0  454 1815  1  1 98  0  0
11  0      0 2399460  67760 626084    0    0     0     0  438 1787  1  1 99  0  0
 0  0      0 2399460  67760 626096    0    0     0     0  458 1815  1  1 98  0  0
 0  0      0 2399460  67760 626108    0    0     0    56  461 1811  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 2399460  67768 626128    0    0     0   180  590 1881  1  1 98  1  0
14  0      0 2399460  67768 626156    0    0     0    24  556 1870  2  1 97  0  0
 0  0      0 2399460  67768 626172    0    0     0     0  542 1856  0  1 99  0  0
 0  0      0 2399460  67768 626200    0    0     0     0  620 1913  1  1 98  0  0
 0  0      0 2399460  67768 626240    0    0     0    44  510 1788  2  1 98  0  0
 0  0      0 2399460  67768 626284    0    0     0     0  548 1838  2  1 97  0  0
 0  0      0 2399460  67776 626300    0    0     0    96  476 1854  1  1 98  1  0
 0  0      0 2399460  67776 626312    0    0     0     0  437 1793  1  1 98  0  0
 0  0      0 2399460  67776 626328    0    0     0    12  454 1780  2  1 98  0  0
 0  0      0 2399460  67776 626356    0    0     0   348  442 1799  0  1 99  0  0
 0  0      0 2399460  67780 626364    0    0     0   232  517 1801  2  2 96  0  0
 1  0      0 2399460  67788 626404    0    0     0   136  553 1850  1  1 99  0  0
 0  0      0 2399208  67788 626452    0    0     0     0  540 1848  1  0 99  0  0
 0  0      0 2399208  67788 626492    0    0     0     0  519 1811  1  1 98  0  0
 0  0      0 2399208  67788 626508    0    0     0     4  503 1742  2  0 98  0  0
 0  0      0 2399208  67788 626524    0    0     0     0  463 1758  1  1 99  0  0
 0  0      0 2399208  67796 626528    0    0     0   132  441 1835  2  1 97  1  0
 2  0      0 2399208  67796 626568    0    0     0    32  403 1735  1  1 98  0  0
 1  0      0 2399208  67796 626580    0    0     0     0  410 1752  2  1 98  0  0
 0  0      0 2399208  67796 626596    0    0     0    40  405 2059  2  1 97  0  0
13  0      0 2399208  67796 626660    0    0     0     0  409 1744  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 2399208  67804 626684    0    0     0   160  460 1824  2  1 97  1  0
 0  0      0 2399208  67804 626728    0    0     0     0  506 1836  1  0 99  0  0
 0  0      0 2399208  67804 626748    0    0     0     0  505 1782  2  1 97  0  0
 0  0      0 2399208  67804 626760    0    0     0    56  520 1835  2  1 97  0  0
