procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 2081796  75728 854248    0    0     4    14  189  399  0  1 99  0  0
 1  0      0 2079748  75728 854248    0    0     0    44  516 2056  1  2 97  0  0
16  0      0 2079748  75728 854248    0    0     0   252  488 2003  1  0 99  0  0
 0  0      0 2079748  75728 854488    0    0     0     0  449 2061  1  0 99  0  0
 0  0      0 2079748  75728 854488    0    0     0     0  494 2069  1  1 98  0  0
 0  0      0 2079748  75728 854488    0    0     0     0  418 1944  1  1 98  0  0
 0  0      0 2079748  75732 854484    0    0     0   132  479 2086  1  1 98  1  0
 0  0      0 2079748  75732 854488    0    0     0     0  679 2045  2  2 96  0  0
 0  0      0 2079748  75732 854488    0    0     0    32  470 2014  1  0 99  0  0
 0  0      0 2079748  75732 854488    0    0     0     0  610 2205  1  1 99  0  0
 0  0      0 2079748  75732 854488    0    0     0   148  623 2055  2  2 97  0  0
 0  0      0 2079748  75732 854732    0    0     0     0  628 2131  1  0 99  0  0
 9  0      0 2079748  75732 854732    0    0     0     0  553 2096  2  1 98  0  0
 0  0      0 2079748  75732 854732    0    0     0     0  416 1963  1  1 98  0  0
 0  0      0 2079748  75732 854732    0    0     0    64  548 2094  1  1 98  0  0
 5  0      0 2079748  75732 854732    0    0     0     0  504 2132  1  1 99  0  0
15  0      0 2079748  75732 854732    0    0     0     0  420 1907  1  1 98  0  0
 0  0      0 2079748  75732 854732    0    0     0    24  451 1994  1  0 99  0  0
 0  0      0 2079748  75732 854732    0    0     0     0  468 2075  1  0 99  0  0
14  0      0 2079748  75732 854964    0    0     0    24  533 2115  1  1 98  0  0
 0  0      0 2079748  75732 854964    0    0     0     0  447 1923  2  0 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 2079748  75732 854964    0    0     0     0  483 2075  1  0 99  0  0
 0  0      0 2079748  75736 854968    0    0     0   808  445 1998  1  1 97  1  0
 0  0      0 2079748  75736 854968    0    0     0     0  501 2032  1  0 99  0  0
 3  0      0 2079748  75736 854968    0    0     0   368  725 2180  1  2 97  0  0
 0  0      0 2079748  75736 854968    0    0     0     0  471 1969  2  0 98  0  0
